MSFT,IBM,SBUX,AAPL,GSPC,Date
24.19595,146.760708,15.382749,47.38402,1320.880005,2011-02-09
26.70976,192.864194,23.325062,86.335317,1454.920044,2012-10-16
27.934264,175.309158,22.922379,66.429709,1361.22998,2012-02-17
26.952324,174.565944,22.903454,62.025493,1347.050049,2012-02-07
21.589204,114.56312,11.908441,35.328983,1121.900024,2010-09-13
18.826527,88.120344,6.249119,18.040219,882.679993,2009-07-09
26.075067,113.251641,10.729792,27.911008,1137.140015,2010-01-06
18.918813,93.532906,6.826383,18.554861,939.150024,2009-06-10
22.21566,104.278398,8.049635,23.920886,1335.48999,2008-06-11
16.473463,87.104269,5.319081,16.067649,865.299988,2009-04-16
22.939113,79.880522,14.358313,12.471777,1439.369995,2007-04-04
45.45949,166.307557,48.895683,123.493969,2088.0,2015-05-07
41.236044,177.684806,38.03426,92.250068,1931.589966,2014-08-08
47.110038,155.185493,38.166762,112.922791,2051.800049,2014-11-18
47.6504,156.048215,38.324211,110.331247,2039.329956,2014-11-13
26.358762,113.749429,12.540811,35.830393,1217.280029,2010-04-23
37.478039,179.905477,34.32701,81.047012,1878.47998,2014-05-09
24.931258,131.985461,14.84301,44.151967,1273.849976,2011-01-06
44.307861,154.311488,37.147347,102.454639,1964.579956,2014-10-24
25.940136,173.913797,23.92288,76.067652,1337.890015,2012-07-25
39.336512,176.024934,36.490457,89.602383,1940.459961,2014-06-05
24.594844,163.783759,18.80225,53.370527,1331.939941,2011-07-26
23.244856,81.823363,15.10051,11.016494,1438.060059,2007-02-09
22.425257,104.827431,9.318701,27.110603,1081.400024,2009-10-21
46.36238,147.191714,59.303554,110.782086,2023.859985,2015-10-15
22.971289,112.546993,12.356793,34.810372,1102.829956,2010-06-03
16.098308,83.823797,5.117497,14.37952,811.080017,2009-04-01
44.896619,153.795546,40.371058,107.94507,2058.899902,2014-12-31
24.638974,111.060555,12.439601,33.602489,1159.72998,2010-05-10
25.310744,182.842977,25.618174,59.884104,1502.420044,2013-02-21
16.881965,89.345639,6.272026,16.55583,873.640015,2009-04-29
22.239646,106.726757,9.593589,25.118188,1097.910034,2009-10-19
19.405417,102.156225,8.640644,21.54216,994.349976,2009-08-11
22.591224,91.062789,8.361174,15.804375,1353.109985,2008-02-22
21.345335,105.43452,9.469889,24.345565,1064.660034,2009-09-21
39.823328,170.715223,38.121586,88.072911,1957.219971,2014-06-26
30.476013,186.724222,29.214804,59.443757,1597.569946,2013-04-30
28.104105,175.281969,22.832486,68.11387,1362.209961,2012-02-21
22.51802,115.009725,11.413605,34.642354,1125.859985,2010-08-02
23.719243,107.466471,10.248739,25.814078,1068.130005,2010-02-10
25.161342,95.694643,12.69066,19.017906,1534.099976,2007-07-20
23.366572,98.646439,8.067961,16.673576,1308.77002,2008-03-12
45.331571,153.86264,40.671196,109.480436,2026.140015,2014-12-10
22.199651,126.248365,12.648383,42.070912,1184.709961,2010-10-18
22.556475,172.967897,20.206329,51.68372,1234.349976,2011-12-08
18.784578,87.041284,6.162071,18.325985,879.130005,2009-07-10
